"","continent","date","values"
"2574","Africa","3/13/2021",55
"2575","Africa","3/14/2021",55
"2576","Africa","3/15/2021",55
"2577","Africa","3/16/2021",55
"2578","Africa","3/17/2021",55
"2579","Africa","3/18/2021",55
"2580","Africa","3/19/2021",55
"2581","Africa","3/20/2021",55
"2582","Africa","3/21/2021",55
"2583","Africa","3/22/2021",55
"2584","Africa","3/23/2021",55
"2585","Africa","3/24/2021",55
"2586","Africa","3/25/2021",55
"2587","Africa","3/26/2021",55
"2588","Africa","3/27/2021",55
"2589","Africa","3/28/2021",55
"2590","Africa","3/29/2021",55
"2591","Africa","3/30/2021",55
"2592","Africa","3/31/2021",55
"2593","Africa","4/1/2021",55
"2594","Africa","4/2/2021",55
"2595","Africa","4/3/2021",55
"2596","Africa","4/4/2021",55
"2597","Africa","4/5/2021",55
"2598","Africa","4/6/2021",55
"2599","Africa","4/7/2021",55
"2600","Africa","4/8/2021",55
"2601","Africa","4/9/2021",55
"2602","Africa","4/10/2021",55
"2603","Africa","4/11/2021",55
"2604","Africa","4/12/2021",55
"2605","Africa","4/13/2021",55
"2606","Africa","4/14/2021",55
"2607","Africa","4/15/2021",55
"2608","Africa","4/16/2021",55
"2609","Africa","4/17/2021",55
"2610","Africa","4/18/2021",55
"2611","Africa","4/19/2021",55
"2612","Africa","4/20/2021",55
"2613","Africa","4/21/2021",55
"2614","Africa","4/22/2021",55
"2615","Africa","4/23/2021",55
"2616","Africa","4/24/2021",55
"2617","Africa","4/25/2021",55
"2618","Africa","4/26/2021",55
"2619","Africa","4/27/2021",55
"2620","Africa","4/28/2021",55
"2621","Africa","4/29/2021",55
"2622","Africa","4/30/2021",55
"2623","Africa","5/1/2021",55
"2624","Africa","5/2/2021",55
"2625","Africa","5/3/2021",55
"2626","Africa","5/4/2021",55
"2627","Africa","5/5/2021",55
"2628","Africa","5/6/2021",55
"2629","Africa","5/7/2021",55
"2630","Africa","5/8/2021",55
"2631","Africa","5/9/2021",55
"2632","Africa","5/10/2021",55
"2633","Africa","5/11/2021",55
"2634","Africa","5/12/2021",55
"2635","Africa","5/13/2021",55
"2636","Africa","5/14/2021",55
"2637","Africa","5/15/2021",55
"2638","Africa","5/16/2021",55
"2639","Africa","5/17/2021",55
"2640","Africa","5/18/2021",55
"2641","Africa","5/19/2021",55
"2642","Africa","5/20/2021",55
"2643","Africa","5/21/2021",55
"2644","Africa","5/22/2021",55
"2645","Africa","5/23/2021",55
"2646","Africa","5/24/2021",55
"2647","Africa","5/25/2021",55
"2648","Africa","5/26/2021",55
"2649","Africa","5/27/2021",55
"2650","Africa","5/28/2021",55
"2651","Africa","5/29/2021",55
"2652","Africa","5/30/2021",55
"2653","Africa","5/31/2021",55
"2654","Africa","6/1/2021",55
"2655","Africa","6/2/2021",55
"2656","Africa","6/3/2021",55
"2657","Africa","6/4/2021",55
"2658","Africa","6/5/2021",55
"2659","Africa","6/6/2021",55
"2660","Africa","6/7/2021",55
"2661","Africa","6/8/2021",55
"2662","Africa","6/9/2021",55
"2663","Africa","6/10/2021",55
"2664","Africa","6/11/2021",55
"2665","Africa","6/12/2021",55
"2666","Africa","6/13/2021",55
"2667","Africa","6/14/2021",55
"2668","Africa","6/15/2021",55
"2669","Africa","6/16/2021",55
"2670","Africa","6/17/2021",55
"2671","Africa","6/18/2021",55
"2672","Africa","6/19/2021",55
"2673","Africa","6/20/2021",55
"2674","Africa","6/21/2021",55
"2675","Africa","6/22/2021",55
"2676","Africa","6/23/2021",55
"2677","Africa","6/24/2021",55
"2678","Africa","6/25/2021",55
"2679","Africa","6/26/2021",55
"2680","Africa","6/27/2021",55
"2681","Africa","6/28/2021",55
"2682","Africa","6/29/2021",55
"2683","Africa","6/30/2021",55
"2684","Africa","7/1/2021",55
"2685","Africa","7/2/2021",55
"2686","Africa","7/3/2021",55
"2687","Africa","7/4/2021",55
"2688","Africa","7/5/2021",55
"2689","Africa","7/6/2021",55
"2690","Africa","7/7/2021",55
"2691","Africa","7/8/2021",55
"2692","Africa","7/9/2021",55
"2693","Africa","7/10/2021",55
"2694","Africa","7/11/2021",55
"2695","Africa","7/12/2021",55
"2696","Africa","7/13/2021",55
"2697","Africa","7/14/2021",55
"2698","Africa","7/15/2021",55
"2699","Africa","7/16/2021",55
"2700","Africa","7/17/2021",55
"2701","Africa","7/18/2021",55
"2702","Africa","7/19/2021",55
"2703","Africa","7/20/2021",55
"2704","Africa","7/21/2021",55
"2705","Africa","7/22/2021",55
"2706","Africa","7/23/2021",55
"2707","Africa","7/24/2021",55
"2708","Africa","7/25/2021",55
"2709","Africa","7/26/2021",55
"2710","Africa","7/27/2021",55
"2711","Africa","7/28/2021",55
"2712","Africa","7/29/2021",55
"2713","Africa","7/30/2021",55
"2714","Africa","7/31/2021",55
"2715","Africa","8/1/2021",55
"2716","Africa","8/2/2021",55
"2717","Africa","8/3/2021",55
"2718","Africa","8/4/2021",55
"2719","Africa","8/5/2021",55
"2720","Africa","8/6/2021",55
"2721","Africa","8/7/2021",55
"2722","Africa","8/8/2021",55
"2723","Africa","8/9/2021",55
"2724","Africa","8/10/2021",55
"2725","Africa","8/11/2021",55
"2726","Africa","8/12/2021",55
"2727","Africa","8/13/2021",55
"2728","Africa","8/14/2021",55
"2729","Africa","8/15/2021",55
"2730","Africa","8/16/2021",55
"2731","Africa","8/17/2021",55
"2732","Africa","8/18/2021",55
"2733","Africa","8/19/2021",55
"2734","Africa","8/20/2021",55
"2735","Africa","8/21/2021",55
"2736","Africa","8/22/2021",55
"2737","Africa","8/23/2021",55
"2738","Africa","8/24/2021",55
"2739","Africa","8/25/2021",55
"2740","Africa","8/26/2021",55
"2741","Africa","8/27/2021",55
"2742","Africa","8/28/2021",55
"2743","Africa","8/29/2021",55
"2744","Africa","8/30/2021",55
"2745","Africa","8/31/2021",55
"2746","Africa","9/1/2021",55
"2747","Africa","9/2/2021",55
"2748","Africa","9/3/2021",55
"2749","Africa","9/4/2021",55
"2750","Africa","9/5/2021",55
"2751","Africa","9/6/2021",55
"2752","Africa","9/7/2021",55
"2753","Africa","9/8/2021",55
"2754","Africa","9/9/2021",55
"2755","Africa","9/10/2021",55
"2756","Africa","9/11/2021",55
"2757","Africa","9/12/2021",55
"2758","Africa","9/13/2021",55
"2759","Africa","9/14/2021",55
"2760","Africa","9/15/2021",55
"2761","Africa","9/16/2021",55
"2762","Africa","9/17/2021",55
"2763","Africa","9/18/2021",55
"2764","Africa","9/19/2021",55
"2765","Africa","9/20/2021",55
"2766","Africa","9/21/2021",55
"2767","Africa","9/22/2021",55
"2768","Africa","9/23/2021",55
"2769","Africa","9/24/2021",55
"2770","Africa","9/25/2021",55
"2771","Africa","9/26/2021",55
"2772","Africa","9/27/2021",55
"2773","Africa","9/28/2021",55
"2774","Africa","9/29/2021",55
"2775","Africa","9/30/2021",55
"2776","Africa","10/1/2021",55
"2777","Africa","10/2/2021",55
"2778","Africa","10/3/2021",55
"2779","Africa","10/4/2021",55
"2780","Africa","10/5/2021",55
"2781","Africa","10/6/2021",55
"2782","Africa","10/7/2021",55
"2783","Africa","10/8/2021",55
"2784","Africa","10/9/2021",55
"2785","Africa","10/10/2021",55
"2786","Africa","10/11/2021",55
"2787","Africa","10/12/2021",55
"2788","Africa","10/13/2021",55
"2789","Africa","10/14/2021",55
"2790","Africa","10/15/2021",55
"2791","Africa","10/16/2021",55
"2792","Africa","10/17/2021",55
"2793","Africa","10/18/2021",55
"2794","Africa","10/19/2021",55
"2795","Africa","10/20/2021",55
"2796","Africa","10/21/2021",55
"2797","Africa","10/22/2021",55
"2798","Africa","10/23/2021",55
"2799","Africa","10/24/2021",55
"2800","Africa","10/25/2021",55
"2801","Africa","10/26/2021",55
"2802","Africa","10/27/2021",55
"2803","Africa","10/28/2021",55
"2804","Africa","10/29/2021",55
"2805","Africa","10/30/2021",55
"2806","Africa","10/31/2021",55
"2807","Africa","11/1/2021",55
"2808","Africa","11/2/2021",55
"2809","Africa","11/3/2021",55
"2810","Africa","11/4/2021",55
