Countries,Infections,Deaths
Canada,4070,158
Canada,4140,96
Canada,3143,93
Canada,2959,65
Canada,3786,68
Canada,2820,74
Canada,3358,95
Canada,3075,84
Canada,3181,74
Canada,2830,66
Canada,2245,65
Canada,1896,31
Canada,4017,73
Canada,2587,38
Canada,3274,63
Canada,3067,78
Canada,2664,54
Canada,2501,44
Canada,3696,49
Canada,2845,39
Canada,2904,45
Canada,3045,58
Canada,3243,50
Canada,2568,45
Canada,2152,34
Canada,3570,23
Canada,2889,28
Canada,2767,60
Canada,2983,46
Canada,3275,41
Canada,2319,21
Canada,2390,26
Canada,4161,37
Canada,2968,28
Canada,3147,31
Canada,3036,36
Canada,3534,33
Canada,2853,30
Canada,2890,29
Canada,3869,32
Canada,2980,24
Canada,3398,35
Canada,3669,36
Canada,4254,27
Canada,3358,26
Canada,3286,33
Canada,4928,40
Canada,3716,19
Canada,4297,24
Canada,5254,31
Canada,5148,36
Canada,4354,26
Canada,4228,28
Canada,6365,20
Canada,5013,26
Canada,5919,33
Canada,5815,43
Canada,4649,29
Canada,5870,19
Canada,4416,24
Canada,7410,21
Canada,10704,46
Canada,7520,32
Canada,8092,38
Canada,9438,40
Canada,7138,36
Canada,7580,28
Canada,10678,41
Canada,7594,36
Canada,8548,53
Canada,9731,55
Canada,9275,41
Canada,7342,48
Canada,7527,34
Canada,10377,44
Canada,7357,46
Canada,8404,50
Canada,8217,59
Canada,8621,61
Canada,7516,44
Canada,6859,38
Canada,9010,59
Canada,7257,41
Canada,7722,52
Canada,8419,52
Canada,8472,50
Canada,7429,42
Canada,6926,39
Canada,9112,42
Canada,6812,54
Canada,7357,54
Canada,8123,39
Canada,7936,40
Canada,6658,39
Canada,6444,58
Canada,7537,56
Canada,5557,32
Canada,6307,54
Canada,6748,57
Canada,5941,44
Canada,5174,39
Canada,4744,40
Canada,5551,34
Canada,4073,36
Canada,4463,48
Canada,5071,45
Canada,4478,51
Canada,3634,41
Canada,3287,28
Canada,2806,30
Canada,3532,63
Canada,2745,37
Canada,2944,50
Canada,3181,29
Canada,2352,38
Canada,2195,34
Canada,2582,35
Canada,1711,19
Canada,2070,46
Canada,2171,32
Canada,2018,35
Canada,1653,33
Canada,1361,12
Canada,1552,37
Canada,1317,30
Canada,1367,52
Canada,1505,30
Canada,1420,13
Canada,1242,28
Canada,1094,17
Canada,1143,14
Canada,887,27
Canada,1037,29
Canada,1114,11
Canada,1010,11
Canada,816,31
Canada,669,22
Canada,775,11
Canada,651,68
